Date,Volume
2016-01-03,20.35
2016-01-04,17.44
2016-01-05,19.19
2016-01-06,22.09
2016-01-07,22.67
2016-01-08,29.07
2016-01-09,22.09
2016-01-10,25.0
2016-01-11,31.98
2016-01-12,28.49
2016-01-13,36.63
2016-01-14,31.98
2016-01-15,34.88
2016-01-16,23.84
2016-01-17,31.98
2016-01-18,38.37
2016-01-19,56.98
2016-01-20,62.21
2016-01-21,68.02
2016-01-22,44.19
2016-01-23,41.28
2016-01-24,31.98
2016-01-25,23.84
2016-01-26,37.21
2016-01-27,34.88
2016-01-28,23.84
2016-01-29,20.93
2016-01-30,26.16
2016-01-31,27.91
2016-02-01,35.47
2016-02-02,38.95
2016-02-03,44.77
2016-02-04,37.21
2016-02-05,28.49
2016-02-06,23.84
2016-02-07,32.56
2016-02-08,34.3
2016-02-09,39.53
2016-02-10,47.67
2016-02-11,51.74
2016-02-12,30.23
2016-02-13,32.56
2016-02-14,39.53
2016-02-15,51.16
2016-02-16,59.88
2016-02-17,62.21
2016-02-18,53.49
2016-02-19,54.65
2016-02-20,30.23
2016-02-21,39.53
2016-02-22,44.19
2016-02-23,41.86
2016-02-24,42.44
2016-02-25,42.44
2016-02-26,37.79
2016-02-27,29.65
2016-02-28,36.63
2016-02-29,35.47
2016-03-01,41.86
2016-03-02,40.7
2016-03-03,38.37
2016-03-04,34.3
2016-03-05,31.98
2016-03-06,48.26
2016-03-07,58.14
2016-03-08,66.28
2016-03-09,100.0
2016-03-10,56.98
2016-03-11,44.77
2016-03-12,34.88
2016-03-13,34.88
2016-03-14,47.09
2016-03-15,61.05
2016-03-16,47.09
2016-03-17,47.09
2016-03-18,34.88
2016-03-19,20.93
2016-03-20,26.74
2016-03-21,30.81
2016-03-22,27.33
2016-03-23,22.67
2016-03-24,19.77
2016-03-25,17.44
2016-03-26,24.42
2016-03-27,33.72
2016-03-28,44.19
2016-03-29,41.86
2016-03-30,50.0
2016-03-31,44.77
2016-04-01,38.95
2016-04-02,28.49
2016-04-03,40.12
2016-04-04,38.37
2016-04-05,40.7
2016-04-06,49.42
2016-04-07,41.28
2016-04-08,40.7
2016-04-09,34.3
2016-04-10,42.44
2016-04-11,43.02
2016-04-12,53.49
2016-04-13,45.35
2016-04-14,52.91
2016-04-15,37.79
2016-04-16,30.81
2016-04-17,44.77
2016-04-18,45.35
2016-04-19,51.16
2016-04-20,52.33
2016-04-21,45.35
2016-04-22,45.93
2016-04-23,39.53
2016-04-24,45.35
2016-04-25,62.79
2016-04-26,61.05
2016-04-27,54.07
2016-04-28,40.12
2016-04-29,38.95
2016-04-30,38.37
2016-05-01,54.07
2016-05-02,70.93
2016-05-03,86.63
2016-05-04,70.93
2016-05-05,73.26
2016-05-06,61.05
2016-05-07,40.7
2016-05-08,53.49
2016-05-09,73.84
2016-05-10,62.79
2016-05-11,78.49
2016-05-12,70.93
2016-05-13,58.14
2016-05-14,53.49
2016-05-15,58.14
2016-05-16,76.74
2016-05-17,64.53
2016-05-18,77.33
2016-05-19,63.95
2016-05-20,58.14
2016-05-21,44.19
2016-05-22,55.81
2016-05-23,74.42
2016-05-24,73.26
2016-05-25,77.91
2016-05-26,46.51
2016-05-27,38.37
2016-05-28,55.81
2016-05-29,53.49
2016-05-30,54.07
2016-05-31,71.51
2016-06-01,67.44
2016-06-02,64.53
2016-06-03,43.6
2016-06-04,36.63
2016-06-05,48.84
2016-06-06,70.35
2016-06-07,63.95
2016-06-08,60.47
2016-06-09,54.65
2016-06-10,38.37
2016-06-11,36.63
2016-06-12,40.12
2016-06-13,37.79
2016-06-14,52.33
2016-06-15,34.88
2016-06-16,33.72
2016-06-17,30.23
2016-06-18,21.51
2016-06-19,36.05
2016-06-20,43.6
2016-06-21,51.16
2016-06-22,41.28
2016-06-23,39.53
2016-06-24,25.0
2016-06-25,29.65
2016-06-26,33.72
2016-06-27,33.72
2016-06-28,37.21
2016-06-29,30.23
2016-07-01,27.33
2016-07-02,30.23
2016-07-03,32.56
2016-07-04,40.7
2016-07-05,39.53
2016-07-06,33.72
2016-07-07,41.28
2016-07-08,25.58
2016-07-09,26.74
2016-07-10,27.33
2016-07-11,26.16
2016-07-12,25.0
2016-07-13,25.0
2016-07-14,27.33
2016-07-15,22.09
2016-07-16,20.35
2016-07-17,25.58
2016-07-18,35.47
2016-07-19,40.7
2016-07-20,36.63
2016-07-21,41.86
2016-07-22,31.98
2016-07-23,38.37
2016-07-24,26.16
2016-07-25,23.84
2016-07-26,26.74
2016-07-27,26.16
2016-07-28,27.33
2016-07-29,26.16
2016-07-30,19.19
2016-07-31,25.58
2016-08-01,39.53
2016-08-02,31.4
2016-08-03,27.33
2016-08-04,29.07
2016-08-05,34.3
2016-08-06,17.44
2016-08-07,29.07
2016-08-08,27.91
2016-08-09,37.21
2016-08-10,44.19
2016-08-11,40.7
2016-08-12,36.05
2016-08-13,19.77
2016-08-14,30.23
2016-08-15,36.63
2016-08-16,52.91
2016-08-17,45.35
2016-08-18,52.91
2016-08-19,48.26
2016-08-20,23.26
2016-08-21,34.3
2016-08-22,37.21
2016-08-23,44.77
2016-08-24,41.28
2016-08-25,48.26
2016-08-26,33.14
2016-08-27,29.07
2016-08-28,36.63
2016-08-29,37.21
2016-08-30,39.53
2016-08-31,44.19
2016-09-01,36.63
2016-09-02,30.81
2016-09-03,23.84
2016-09-04,37.79
2016-09-05,47.67
2016-09-06,63.95
2016-09-07,58.72
2016-09-08,52.91
2016-09-09,33.14
2016-09-10,30.23
2016-09-11,40.12
2016-09-12,50.58
2016-09-13,50.0
2016-09-14,56.4
2016-09-15,48.26
2016-09-16,42.44
2016-09-17,27.91
2016-09-18,47.09
2016-09-19,59.3
2016-09-20,65.7
2016-09-21,69.77
2016-09-22,67.44
2016-09-23,51.16
2016-09-24,38.95
2016-09-25,50.0
2016-09-26,59.3
2016-09-27,62.79
2016-09-28,59.3
2016-09-29,66.28
2016-09-30,35.47
2016-10-01,33.72
2016-10-02,51.16
2016-10-03,60.47
2016-10-04,63.95
2016-10-05,72.09
2016-10-06,67.44
2016-10-07,48.26
2016-10-08,36.05
2016-10-09,45.93
2016-10-10,55.81
2016-10-11,61.05
2016-10-12,67.44
2016-10-13,59.88
2016-10-14,43.6
2016-10-15,51.16
2016-10-16,54.65
2016-10-17,52.91
2016-10-18,52.91
2016-10-19,63.37
2016-10-20,49.42
2016-10-21,51.16
2016-10-22,40.7
2016-10-23,56.4
2016-10-24,79.65
2016-10-25,84.3
2016-10-26,78.49
2016-10-27,64.53
2016-10-28,61.63
2016-10-29,44.77
2016-10-30,53.49
2016-10-31,48.84
2016-11-01,51.16
2016-11-02,58.72
2016-11-03,62.79
2016-11-04,43.6
2016-11-05,34.3
2016-11-06,54.07
2016-11-07,66.28
2016-11-08,75.0
2016-11-09,61.05
2016-11-10,55.81
2016-11-11,45.35
2016-11-12,31.98
2016-11-13,51.74
2016-11-14,71.51
2016-11-15,69.77
2016-11-16,69.19
2016-11-17,62.21
2016-11-18,57.56
2016-11-19,47.09
2016-11-20,45.93
2016-11-21,58.14
2016-11-22,66.28
2016-11-23,66.28
2016-11-24,60.47
2016-11-25,44.77
2016-11-26,33.14
2016-11-27,41.86
2016-11-28,47.67
2016-11-29,64.53
2016-11-30,51.74
2016-12-01,56.4
2016-12-02,48.84
2016-12-03,31.4
2016-12-04,35.47
2016-12-05,35.47
2016-12-06,44.19
2016-12-07,30.81
2016-12-08,28.49
2016-12-09,24.42
2016-12-10,25.0
2016-12-11,28.49
2016-12-12,28.49
2016-12-13,35.47
2016-12-14,37.79
2016-12-15,27.33
2016-12-16,20.35
2016-12-17,25.0
2016-12-18,17.44
2016-12-19,18.6
2016-12-20,17.44
2016-12-21,17.44
2016-12-22,10.47
2016-12-23,16.28
2016-12-24,14.53
2016-12-25,18.6
2016-12-26,23.84
2016-12-27,20.35
2016-12-29,23.84
2016-12-30,30.23
2016-12-31,23.84
2017-01-01,19.77
2017-01-02,26.16
2017-01-03,24.42
2017-01-04,26.16
2017-01-05,27.33
2017-01-06,20.93
2017-01-07,20.93
2017-01-08,23.84
2017-01-09,22.67
2017-01-10,29.07
2017-01-11,31.4
2017-01-12,31.98
2017-01-13,25.58
2017-01-14,25.0
2017-01-15,26.74
2017-01-16,25.0
2017-01-17,27.91
2017-01-18,32.56
2017-01-19,30.81
2017-01-20,28.49
2017-01-21,24.42
2017-01-22,29.65
2017-01-23,28.49
2017-01-24,34.88
2017-01-25,41.28
2017-01-26,34.88
2017-01-27,36.63
2017-01-28,28.49
2017-01-29,31.4
2017-01-30,35.47
2017-01-31,33.14
2017-02-01,40.12
2017-02-02,42.44
2017-02-03,34.88
2017-02-04,24.42
2017-02-05,35.47
2017-02-06,42.44
2017-02-07,52.33
2017-02-08,48.26
2017-02-09,48.84
2017-02-10,44.19
2017-02-11,32.56
2017-02-12,41.28
2017-02-13,44.77
2017-02-14,51.16
2017-02-15,50.0
2017-02-16,51.16
2017-02-17,39.53
2017-02-18,37.79
2017-02-19,44.19
2017-02-20,37.79
2017-02-21,41.86
2017-02-22,52.91
2017-02-23,73.26
2017-02-24,45.93
2017-02-25,38.95
2017-02-26,38.37
2017-02-27,36.05
2017-02-28,36.05
2017-03-01,39.53
2017-03-02,41.86
2017-03-03,29.65
2017-03-04,22.67
2017-03-05,42.44
2017-03-06,52.33
2017-03-07,52.33
2017-03-08,50.58
2017-03-09,54.07
2017-03-10,44.19
2017-03-11,32.56
2017-03-12,41.28
2017-03-13,59.3
2017-03-14,48.84
2017-03-15,63.95
2017-03-16,56.98
2017-03-17,42.44
2017-03-18,30.81
2017-03-19,40.12
2017-03-20,47.67
2017-03-21,38.37
2017-03-22,47.09
2017-03-23,46.51
2017-03-24,30.23
2017-03-25,30.81
2017-03-26,44.19
2017-03-27,51.16
2017-03-28,59.3
2017-03-29,54.07
2017-03-30,48.84
2017-03-31,34.3
2017-04-01,31.4
2017-04-02,40.12
2017-04-03,42.44
2017-04-04,38.95
2017-04-05,45.93
2017-04-06,41.28
2017-04-07,33.72
2017-04-08,25.0
2017-04-09,27.33
2017-04-10,31.4
2017-04-11,27.33
2017-04-12,28.49
2017-04-13,27.33
2017-04-14,27.33
2017-04-15,29.65
2017-04-16,34.88
2017-04-17,53.49
2017-04-18,56.98
